Real CCN,Real SSN,Real FN,Real LN,Trust CCN,Trust SSN,Trust FN,Trust LN,TrustCreditCardFuzzFields,TrustCreditCardFuzzMethod,TrustConsumerFuzzFields,TrustConsumerFuzzMethod,Debt CCN,Debt SSN,Debt FN,Debt LN,DebtCreditCardFuzzFields,DebtCreditCardFuzzMethod,DebtConsumerFuzzFields,DebtConsumerFuzzMethod
'4538924703337579',766-09-7328,Mariluz,,'4538924703337579',766-09-7328,Mariluz,,0,0,0,0,'4538924703337579',766-09-7328,Mariluz,,0,0,0,0
'7757261266898874',344-96-3185,Leonidas,Dodier,'7757261268698874',344-93-6185,Leonidas,Dodier,1,4,4,4,'7757261266898874',344-96-3185,Leonidas,Dodier,0,0,0,0
'4129053595953515',561-99-6837,Dominick,Brabham,'4129053595953515',561-99-6837,Dom,Brabham,0,0,1,16,'4129053595953515',561-99-6837,Dominick,Brabham,0,0,0,0
'7164098832995172',561-99-6837,Dominick,Brabham,'7164098832995172',561-99-6837,Dom,Brabham,0,0,1,16,'7164098832995172',561-99-6837,Dominick,Brabham,0,0,0,0
'5901004484094386',725-80-5500,,Legg,'5901004484049386',725-08-5500,,Legg,1,4,4,4,'5901004484094386',725-80-5500,,Legg,0,0,0,0
'7209262114035918',900-43-9417,Lucittia,Curth,'7209262114035918',900-43-9417,Lucittia,Curth,0,0,0,0,'7209262114035918',900-43-9417,Lucittia,Curth,0,0,0,0
'7307311248978856',706-05-6279,,Durjan,'7307311248978856',706-05-6279,,Durjan,0,0,0,0,'7307311248978856',706-05-6279,,Durjan,0,0,0,0
'5683498609080361',907-51-2138,Jarius,Goellner,'5683498069080361',907-51-2183,Jarius,Goellner,1,4,4,4,'5683498609080361',907-51-2138,Jarius,Goellner,0,0,0,0
'5187967331092214',603-21-2134,Rao,Moyer,'5187967331092214',603-21-2134,Rao,Moyer,0,0,0,0,'5187967331092214',603-21-2134,Rao,Moyer,0,0,0,0
'4796904511086563',968-25-0003,Valdrica,Ratti,'4796904511086563',968-25-0003,Valdrica,Ratti,0,0,0,0,'4796904511086563',968-25-0003,Valdrica,Ratti,0,0,0,0
'5842093294616633',311-92-1036,Feleshia,Peon,'5842093294616633',311-92-1036,Feleshia,Peon,0,0,0,0,'5842093294616633',311-92-1036,Feleshia,Peon,0,0,0,0
'7243087162904146',104-71-0539,Ikema,Lombard-villa,'7243087162904146',104-71-0359,Ikema,Lombard-villa,0,0,4,4,'7243087162904146',104-71-0539,Ikema,Lombard-villa,0,0,0,0
'5079185836249562',106-28-7324,Pleasant,Muresan,'5079185836429562',106-28-7234,Pleasant,Muresan,1,4,4,4,'5079185836249562',106-28-7324,Pleasant,Muresan,0,0,0,0
'7264940483409948',128-88-8448,Raghib,Carcamo,'2764940483409948',182-88-8448,Raghib,Carcamo,1,4,4,4,'7264940483409948',128-88-8448,Raghib,Carcamo,0,0,0,0
'4851801210458055',685-73-9102,Hugh,Kinneer,'4815801210458055',685-73-9102,Hugh,Kinneer,1,4,0,0,'4851801210458055',685-73-9102,Hugh,Kinneer,0,0,0,0
'5415988506972523',599-88-8280,Huiwei,Cadely,'5415988506972523',599-88-8280,Huiwei,Cadely,0,0,0,0,'5415988506972523',599-88-8280,Huiwei,Cadely,0,0,0,0
'5304289061536800',150-70-1734,Josef,Staab,'5304289061536800',150-70-1734,Josef,Staab,0,0,0,0,'5304289061536800',150-70-1734,Josef,Staab,0,0,0,0
'5913614204044436',646-25-7283,Francheska,Scurlock,'5913614204044346',646-25-7283,Francheska,Scurlock,1,4,0,0,'5913614204044436',646-25-7283,Francheska,Scurlock,0,0,0,0
'4980173868758178',565-39-2439,Wynna,Walters-chapman,'4980173868758178',565-39-24W39,Wynna,Walters-chapman,0,0,4,2048,'4980173868758178',565-39-2439,Wynna,Walters-chapman,0,0,0,0
'5627760344938347',518-32-5464,Tejas,Barrett,'5627760344938347',518-32-5464,Barrett,Tejas,0,0,3,32,'5627760344938347',518-32-5464,Tejas,Barrett,0,0,0,0
'5395648949100020',518-32-5464,Tejas,Barrett,'5395648949100020',518-32-5464,Barrett,Tejas,0,0,3,32,'5395648949100020',518-32-5464,Tejas,Barrett,0,0,0,0
'5720582163705715',518-32-5464,Tejas,Barrett,'5720582163705715',518-32-5464,Barrett,Tejas,0,0,3,32,'5720582163705715',518-32-5464,Tejas,Barrett,0,0,0,0
'7324460925106444',341-12-6138,Pellie,,'7324460925106444',341-12-6138,Pellie,,0,0,0,0,'7324460925106444',341-12-6138,Pellie,,0,0,0,0
'4696214568939906',460-52-5546,Tyson,Mazanek,'4696214568939906',460-52-5546,Tyson,Mazanek,0,0,0,0,'4696214568939906',460-52-5546,Tyson,Mazanek,0,0,0,0
'5109532796492328',010-82-3164,Lindsay,Goodwin-glenn,'5109532796492328',010-82-3164,Lyn,Goodwin-glenn,0,0,1,16,'5109532796492328',010-82-3164,Lindsay,Goodwin-glenn,0,0,0,0
'5366056621591461',580-55-7400,Norge,Seabrook,'5366056621591461',580-55-7400,Norge,Seabrook,0,0,0,0,'5366056621591461',580-55-7400,Norge,Seabrook,0,0,0,0
'4572923557073630',452-30-7237,Kalyani,Hannay,'4572923557073630',452-30-7237,Kalyani,Hannay,0,0,0,0,'4572923557073630',452-30-7237,Kalyani,Hannay,0,0,0,0
'7862922449508682',697-85-6220,Perless,Rubi-arriola,'7862922449508682',697-85-6220,Perless,Rubi-arriola,0,0,0,0,'7862922449508682',697-85-6220,Perless,Rubi-arriola,0,0,0,0
'7592804656975029',507-86-5890,Huating,Zack,'7592804656975029',507-86-5890,Huating,Zack,0,0,0,0,'7592804656975029',507-86-5890,Huating,Zack,0,0,0,0
'5747740879857708',083-81-0901,Santhia,Kurti,'5747740879857780',088-31-0901,Santhia,Kurti,1,4,4,4,'5747740879857708',083-81-0901,Santhia,Kurti,0,0,0,0
'7527955071067752',224-09-5094,Bonnita,Betten,'7527955071067752',224-09-5094,Bon,Betten,0,0,1,16,'7527955071067752',224-09-5094,Bonnita,Betten,0,0,0,0
'4860565811471547',693-72-0010,Catrunda,Pack,'4860565811471547',693-72-0010,C,Pack,0,0,1,1,'4860565811471547',693-72-0010,Catrunda,Pack,0,0,0,0
'4098724340468420',693-72-0010,Catrunda,Pack,'4098724340468420',693-72-0010,C,Pack,0,0,1,1,'4098724340468420',693-72-0010,Catrunda,Pack,0,0,0,0
'7721517843960052',432-09-9610,Any,Garcia-tunon,'7725117843960052',432-09-9610,Any,Garcia-tunon,1,4,0,0,'7721517843960052',432-09-9610,Any,Garcia-tunon,0,0,0,0
'4030326725926859',127-81-1728,Bj,Ortiz,'4030326725926859',127-81-1728,Bj,Ortiz,0,0,0,0,'4030326725926859',127-81-1728,Bj,Ortiz,0,0,0,0
'4587536866730771',295-52-0443,Gareth,Paden,'4587536866730771',295-52-0443,Gareth,Paden,0,0,0,0,'4587536866730771',295-52-0443,Gareth,Paden,0,0,0,0
'4423399535233759',524-85-2413,,Domagalski,'4423399535233759',524-85-2413,,Domagalski,0,0,0,0,'4423399535233759',524-85-2413,,Domagalski,0,0,0,0
'7269438401320539',926-71-2342,Marian,Trachtenberg,'7269438401320539',926-12-342,Marian,Trachtenberg,0,0,4,2,'7269438401320539',926-71-2342,Marian,Trachtenberg,0,0,0,0
'7971719422144708',165-78-6886,Del-marie,Nejad,'7971719422144708',165-78-6886,Del-marie,Nejad,0,0,0,0,'7971719422144708',165-78-6886,Del-marie,Nejad,0,0,0,0
'4657662709038893',760-05-9716,,Flowers,'4657662709038893',760-05-971,,Flowers,0,0,4,256,'4657662709038893',760-05-9716,,Flowers,0,0,0,0
'5469740212847745',899-14-7726,Thawanda,Bounds,'5469740212847745',899-14-7726,Thawanda,Bounds,0,0,0,0,'5469740212847745',899-14-7726,Thawanda,Bounds,0,0,0,0
'4945010274292307',572-89-2369,Sheauching,Hench,'4945010274293207',572-89-2639,Sheauching,Hench,1,4,4,4,'4945010274292307',572-89-2369,Sheauching,Hench,0,0,0,0
'5923844331734396',617-38-6577,Rozier,Pruyn,'5923844331734396',617-38-6577,Rozier,Pruyn,0,0,0,0,'5923844331734396',617-38-6577,Rozier,Pruyn,0,0,0,0
'5174418719676503',617-38-6577,Rozier,Pruyn,'5174418719676503',617-38-6577,Rozier,Pruyn,0,0,0,0,'5174418719676503',617-38-6577,Rozier,Pruyn,0,0,0,0
'7452984870031715',617-38-6577,Rozier,Pruyn,'7452984870031715',617-38-6577,Rozier,Pruyn,0,0,0,0,'7452984870031715',617-38-6577,Rozier,Pruyn,0,0,0,0
'7927829052966462',476-27-6782,Carina,,'7927829052966462',476-27-6782,Carina,,0,0,0,0,'7927829052966462',476-27-6782,Carina,,0,0,0,0
'7412379273880762',476-27-6782,Carina,,'7412379273880762',476-27-6782,Carina,,0,0,0,0,'7412379273880762',476-27-6782,Carina,,0,0,0,0
'7555059892674968',534-73-4997,,Wahlman,'7555059892674968',534-73-4997,,Wahlman,0,0,0,0,'7555059892674968',534-73-4997,,Wahlman,0,0,0,0
'4825132308119471',478-46-7245,Mcarthur,Schwikert,'4825312308119471',748-46-7245,Mcarthur,Schwikert,1,4,4,4,'4825132308119471',478-46-7245,Mcarthur,Schwikert,0,0,0,0
'7163635357975575',478-46-7245,Mcarthur,Schwikert,'7163635357975575',748-46-7245,Mcarthur,Schwikert,0,0,4,4,'7163635357975575',478-46-7245,Mcarthur,Schwikert,0,0,0,0
'4904564462122560',119-51-1357,Oreste,Munk-kegeler,'4904564462122560',119-51-1357,Oreste,Munk-kegeler,0,0,0,0,'4904564462122560',119-51-1357,Oreste,Munk-kegeler,0,0,0,0
'4038311960707929',636-44-6096,Tana,Cindy,'4038131960707929',663-44-6096,Tana,Cindy,1,4,4,4,'4038311960707929',636-44-6096,Tana,Cindy,0,0,0,0
'7952964799382493',636-44-6096,Tana,Cindy,'7952964799382493',663-44-6096,Tana,Cindy,0,0,4,4,'7952964799382493',636-44-6096,Tana,Cindy,0,0,0,0
'7867897333895918',636-44-6096,Tana,Cindy,'7867897333895918',663-44-6096,Tana,Cindy,0,0,4,4,'7867897333895918',636-44-6096,Tana,Cindy,0,0,0,0
'5930853528943165',827-12-9457,Launda,Schlenoff,'5930853528943165',8k27-12-9457,Launda,Schlenoff,0,0,4,2048,'5930853528943165',827-12-9457,Launda,Schlenoff,0,0,0,0
'5668806867523347',827-12-9457,Launda,Schlenoff,'5668806867523347',8k27-12-9457,Launda,Schlenoff,0,0,4,2048,'5668806867523347',827-12-9457,Launda,Schlenoff,0,0,0,0
'5098454555278758',827-12-9457,Launda,Schlenoff,'5098544555278758',8k27-12-9457,Launda,Schlenoff,1,4,4,2048,'5098454555278758',827-12-9457,Launda,Schlenoff,0,0,0,0
'4932263415230590',363-03-8042,Ifedola,Gelman,'4932263415230590',363-03-8042,Ifedola,Gelman,0,0,0,0,'4932263415230590',363-03-8042,Ifedola,Gelman,0,0,0,0
'7037497548620911',994-92-1051,Azania,Chunn,'7037497548620911',994-92-1051,Azania,Chunn,0,0,0,0,'7037497548620911',994-92-1051,Azania,Chunn,0,0,0,0
'5113823148298106',456-12-9052,Vicentita,Gihring,'5113823148298106',456-12-9052,Vicentita,Gihring,0,0,0,0,'5113823148298106',456-12-9052,Vicentita,Gihring,0,0,0,0
'7639984185212892',450-05-9684,,Farrell,'763998185212892',450-05-9684,,Farrell,1,2,0,0,'7639984185212892',450-05-9684,,Farrell,0,0,0,0
'5627115003357432',639-82-9497,Elcie,Fury,'5627115003357432',639-28-9497,Elcie,Fury,0,0,4,4,'5627115003357432',639-82-9497,Elcie,Fury,0,0,0,0
'4213549963014322',639-82-9497,Elcie,Fury,'4213549963014322',639-28-9497,Elcie,Fury,0,0,4,4,'4213549963014322',639-82-9497,Elcie,Fury,0,0,0,0
'7985643628455857',555-29-5755,Ileene,Dickens,'7985643628455857',555-29-5755,Ileene,Dickens,0,0,0,0,'7985643628455857',555-29-5755,Ileene,Dickens,0,0,0,0
'7816957959721805',873-59-1136,Shufonna,Potaczala,'7816957959721085',783-59-1136,Shufonna,Potaczala,1,4,4,4,'7816957959721805',873-59-1136,Shufonna,Potaczala,0,0,0,0
'5193578978922647',843-75-5418,Blandine,Aangeenbrug,'5193578978922647',843-75-5418,Blandine,Aangeenbrug,0,0,0,0,'5193578978922647',843-75-5418,Blandine,Aangeenbrug,0,0,0,0
'5939234730934433',591-23-9534,Vivek,Cavett,'593923473093443',591-23-9534,Vivek,detscher,1,256,2,512,'5939234730934433',591-23-9534,Vivek,Cavett,0,0,0,0
'5332550793214874',591-23-9534,Vivek,Cavett,'5332550793214874',591-23-9534,Vivek,detscher,0,0,2,512,'5332550793214874',591-23-9534,Vivek,Cavett,0,0,0,0
'5054419391854657',428-70-3787,Takis,Greenly,'5054419391854657',428-70-3787,T,Greenly,0,0,1,1,'5054419391854657',428-70-3787,Takis,Greenly,0,0,0,0
'5763734213688852',361-32-9043,,Cahusac,'5763734213688852',361-32-9043,,Cahusac,0,0,0,0,'5763734213688852',361-32-9043,,Cahusac,0,0,0,0
'4219548707527556',008-39-8351,Phebe,Croskey,'4219548707527556',008-39-8351,Phebe,jaganathan,0,0,2,512,'4219548707527556',008-39-8351,Phebe,Croskey,0,0,0,0
'7808678657844214',306-82-0806,Alexie,Rosabal,'7808678657844214',306-82-0860,Alexie,Rosabal,0,0,4,4,'7808678657844214',306-82-0806,Alexie,Rosabal,0,0,0,0
'7998866061625958',306-82-0806,Alexie,Rosabal,'7998866061652958',306-82-0860,Alexie,Rosabal,1,4,4,4,'7998866061625958',306-82-0806,Alexie,Rosabal,0,0,0,0
'7780229548289878',306-82-0806,Alexie,Rosabal,'7780229548289878',306-82-0860,Alexie,Rosabal,0,0,4,4,'7780229548289878',306-82-0806,Alexie,Rosabal,0,0,0,0
'5892825848969148',725-36-8539,,Tsai,'5892825848969148',725-36-8539,,Tsai,0,0,0,0,'5892825848969148',725-36-8539,,Tsai,0,0,0,0
'4789931805957284',383-73-3010,Lonn,Filloon,'4789931805957284',383-73-3010,L,Filloon,0,0,1,1,'4789931805957284',383-73-3010,Lonn,Filloon,0,0,0,0
'5518004107430101',383-73-3010,Lonn,Filloon,'5158004107430101',383-73-3010,L,Filloon,1,4,1,1,'5518004107430101',383-73-3010,Lonn,Filloon,0,0,0,0
'4018122784272781',606-70-3926,Tausha,Fendrick,'40181227842d72781',606-70-3926,Tausha,Fendrick,1,2048,0,0,'4018122784272781',606-70-3926,Tausha,Fendrick,0,0,0,0
'7544074730052685',738-24-0009,Cortina,Tyburski,'7544074730052685',738-24-0009,Cortina,Tyburski,0,0,0,0,'7544074730052685',738-24-0009,Cortina,Tyburski,0,0,0,0
'4908477404451431',460-14-4513,Darica,Baab,'4908747404451431',460-14-4513,Darica,Baab,1,4,0,0,'4908477404451431',460-14-4513,Darica,Baab,0,0,0,0
'5731839902050509',460-14-4513,Darica,Baab,'5731839902050509',460-14-4513,Darica,Baab,0,0,0,0,'5731839902050509',460-14-4513,Darica,Baab,0,0,0,0
'7810648402990731',427-12-8025,Briana,Charon,'7801648402990731',427-18-2025,Briana,Charon,1,4,4,4,'7810648402990731',427-12-8025,Briana,Charon,0,0,0,0
'4958348114370919',545-29-9431,Zonglan,Gustaff,'9458348114370919',545-29-9431,Zonglan,Gustaff,1,4,0,0,'4958348114370919',545-29-9431,Zonglan,Gustaff,0,0,0,0
'5288646307113416',221-35-3084,Tyesha,Alvarez-garrandes,'5288646307113416',221-35-3084,Tyesha,Alvarez-garrandes,0,0,0,0,'5288646307113416',221-35-3084,Tyesha,Alvarez-garrandes,0,0,0,0
'7008408543394619',704-55-5906,Marvel,Lassiter,'7008408543394169',704-55-9506,Marvel,Lassiter,1,4,4,4,'7008408543394619',704-55-5906,Marvel,Lassiter,0,0,0,0
'7751341176215284',743-90-4808,Mazo,Dingler,'7751341176215284',743-90-4808,Dingler,Mazo,0,0,3,32,'7751341176215284',743-90-4808,Mazo,Dingler,0,0,0,0
'5937564381630942',419-40-7296,Aundrey,Ebbighausen,'5937564381630942',419-40-7296,Aundrey,Ebbighausen,0,0,0,0,'5937564381630942',419-40-7296,Aundrey,Ebbighausen,0,0,0,0
'4600303931780830',709-67-9915,Darrel,Oikelome,'4600303931780830',709-67-9915,Darrel,Oikelome,0,0,0,0,'4600303931780830',709-67-9915,Darrel,Oikelome,0,0,0,0
'5556100246355932',078-24-9646,,Thagard,'5556100246355932',078-24-9646,,Thagard,0,0,0,0,'5556100246355932',078-24-9646,,Thagard,0,0,0,0
'4711939235037442',068-24-5415,,Kennedy,'4711939235037442',608-24-5415,,Kennedy,0,0,4,4,'4711939235037442',068-24-5415,,Kennedy,0,0,0,0
'4112935052234370',068-24-5415,,Kennedy,'4121935052234370',608-24-5415,,Kennedy,1,4,4,4,'4112935052234370',068-24-5415,,Kennedy,0,0,0,0
'7916866834447233',011-70-8398,Ashbel,Swarm,'7916866834447233',017-10-8398,Ashbel,Swarm,0,0,4,4,'7916866834447233',011-70-8398,Ashbel,Swarm,0,0,0,0
'5006726973211910',766-46-6816,Minnie,Bebbington,'5006726973211910',764-66-6816,Minnie,Bebbington,0,0,4,4,'5006726973211910',766-46-6816,Minnie,Bebbington,0,0,0,0
'7144316983295526',120-24-0779,Melanye,Loebig,'7144316983295526',120-24-079,Melanye,Loebig,0,0,4,2,'7144316983295526',120-24-0779,Melanye,Loebig,0,0,0,0
'4209447536857694',120-24-0779,Melanye,Loebig,'4209447536857694',120-24-079,Melanye,Loebig,0,0,4,2,'4209447536857694',120-24-0779,Melanye,Loebig,0,0,0,0
'7585675963890615',008-97-7768,Lerola,Fantozzi,'758575963890615',008-97-7768,Lerola,Fantozzi,1,2,0,0,'7585675963890615',008-97-7768,Lerola,Fantozzi,0,0,0,0
'4484747810643729',573-53-5048,,Shultz,'4484747810643729',573-53-5048,,Shultz,0,0,0,0,'4484747810643729',573-53-5048,,Shultz,0,0,0,0
'4408046508279376',573-53-5048,,Shultz,'4408046508279376',573-53-5048,,Shultz,0,0,0,0,'4408046508279376',573-53-5048,,Shultz,0,0,0,0
'4318497488355178',573-53-5048,,Shultz,'4318497488355178',573-53-5048,,Shultz,0,0,0,0,'4318497488355178',573-53-5048,,Shultz,0,0,0,0
'4044397984749418',432-67-3956,Yata,,'4044397984749418',432-67-3956,Yata,,0,0,0,0,'4044397984749418',432-67-3956,Yata,,0,0,0,0
'4089865492833904',004-35-6954,Scheila,Essex,'4089865492833904',04-35-6954,Scheila,Essex,0,0,4,128,'4089865492833904',004-35-6954,Scheila,Essex,0,0,0,0
'7693958587058847',004-35-6954,Scheila,Essex,'7693958587058847',04-35-6954,Scheila,Essex,0,0,4,128,'7693958587058847',004-35-6954,Scheila,Essex,0,0,0,0
